EmployeeID,Name,Role,Telephone,Email
1,Sandi Bolt,Store Manager,(201) 577-2819,Sandi Bolt@tesla.com
2,Mora Phillips,Store Manager,(534) 499-8586,Mora Phillips@tesla.com
3,Tashia Oneil,Store Manager,(793) 997-5582,Tashia Oneil@tesla.com
4,Chae Murillo,Store Manager,(733) 673-9695,Chae Murillo@tesla.com
5,Jen Daring,Store Manager,(541) 539-2566,Jen Daring@tesla.com
6,Cathern Malagon,Store Manager,(266) 645-5535,Cathern Malagon@tesla.com
7,Quintin Baylis,Store Manager,(605) 354-7197,Quintin Baylis@tesla.com
8,Myrtle Printup,Store Manager,(472) 340-8072,Myrtle Printup@tesla.com
9,Adella Moultrie,Store Manager,(320) 319-6251,Adella Moultrie@tesla.com
10,Darnell Gillins,Store Manager,(745) 540-9128,Darnell Gillins@tesla.com
11,Kori Stancil,Store Manager,(769) 351-6872,Kori Stancil@tesla.com
12,Elois Herzig,Store Manager,(248) 912-9489,Elois Herzig@tesla.com
13,Emogene Sturrock,Store Manager,(886) 446-8962,Emogene Sturrock@tesla.com
14,Dagny Thacker,Store Manager,(726) 728-4709,Dagny Thacker@tesla.com
15,Gene Addison,Store Manager,(479) 399-2112,Gene Addison@tesla.com
16,Harry Genna,Sales,(945) 275-6213,Harry Genna@tesla.com
17,Lavina Zaleski,Sales,(547) 629-5865,Lavina Zaleski@tesla.com
18,Jenell Tatom,Sales,(952) 833-0942,Jenell Tatom@tesla.com
19,Marietta Spruell,Sales,(920) 222-3065,Marietta Spruell@tesla.com
20,Easter Hafford,Sales,(689) 343-5512,Easter Hafford@tesla.com
21,Elfriede Shehane,Sales,(539) 782-0011,Elfriede Shehane@tesla.com
22,Yajaira Rummel,Sales,(220) 910-3956,Yajaira Rummel@tesla.com
23,Ayako Seward,Sales,(286) 356-7946,Ayako Seward@tesla.com
24,Kelle Ocon,Sales,(636) 303-8557,Kelle Ocon@tesla.com
25,Jefferey Aliff,Sales,(549) 396-8720,Jefferey Aliff@tesla.com
26,Donnie Heavrin,Sales,(553) 516-8324,Donnie Heavrin@tesla.com
27,Shonda Row,Sales,(288) 502-1719,Shonda Row@tesla.com
28,Melody Wildermuth,Sales,(833) 686-9894,Melody Wildermuth@tesla.com
29,Norine Bonin,Sales,(535) 419-5588,Norine Bonin@tesla.com
30,Mendy Umberger,Sales,(717) 842-5994,Mendy Umberger@tesla.com
31,Josefina Engelmann,Sales,(457) 748-8886,Josefina Engelmann@tesla.com
32,Deloras Batey,Sales,(615) 252-7034,Deloras Batey@tesla.com
33,Francoise Larger,Sales,(967) 425-6474,Francoise Larger@tesla.com
34,Denny Guerin,Sales,(366) 558-0643,Denny Guerin@tesla.com
35,Katie Kelley,Sales,(332) 210-0345,Katie Kelley@tesla.com
36,Charlotte Freeborn,Sales,(588) 834-3541,Charlotte Freeborn@tesla.com
37,Kiera Vidrine,Sales,(928) 466-1355,Kiera Vidrine@tesla.com
38,Alvina Ivy,Sales,(797) 451-0807,Alvina Ivy@tesla.com
39,Becki Moors,Sales,(414) 557-3291,Becki Moors@tesla.com
40,Wade Wordlaw,Sales,(876) 555-5351,Wade Wordlaw@tesla.com
41,Madelyn Parmentier,Sales,(979) 871-0909,Madelyn Parmentier@tesla.com
42,Charlesetta Bachman,Sales,(334) 820-8707,Charlesetta Bachman@tesla.com
43,Dolly Tedrow,Sales,(824) 389-8141,Dolly Tedrow@tesla.com
44,Hana Parten,Sales,(789) 513-1084,Hana Parten@tesla.com
45,Ping Torina,Sales,(295) 411-3099,Ping Torina@tesla.com
46,Elicia Florio,Sales,(611) 471-6023,Elicia Florio@tesla.com
47,Jonathan Prichett,Sales,(374) 788-7460,Jonathan Prichett@tesla.com
48,Khalilah Ackerson,Sales,(946) 288-4173,Khalilah Ackerson@tesla.com
49,Sandy Kinsman,Sales,(411) 259-6819,Sandy Kinsman@tesla.com
50,My Shew,Sales,(784) 994-5620,My Shew@tesla.com
51,Arielle Futral,Sales,(953) 412-7365,Arielle Futral@tesla.com
52,Harvey Harms,Sales,(220) 422-9096,Harvey Harms@tesla.com
53,Pauletta Labree,Sales,(556) 687-9185,Pauletta Labree@tesla.com
54,Asia Aguila,Sales,(849) 775-0578,Asia Aguila@tesla.com
55,Tod Mcgill,Sales,(986) 476-7201,Tod Mcgill@tesla.com
56,Abby Drouin,Sales,(381) 961-8342,Abby Drouin@tesla.com
57,Jeannine Sanches,Sales,(862) 998-8068,Jeannine Sanches@tesla.com
58,Valentina Edmundson,Sales,(668) 535-3478,Valentina Edmundson@tesla.com
59,Suk Minelli,Sales,(556) 529-6019,Suk Minelli@tesla.com
60,Linh Kyzer,Sales,(783) 352-8254,Linh Kyzer@tesla.com
61,Charlotte Hixon,Sales,(654) 260-1073,Charlotte Hixon@tesla.com
62,Shayla Dimarco,Sales,(438) 837-1895,Shayla Dimarco@tesla.com
63,Warner Parkhill,Sales,(569) 227-7132,Warner Parkhill@tesla.com
64,Tenisha Letendre,Sales,(478) 834-3499,Tenisha Letendre@tesla.com
65,Julee Crown,Sales,(671) 898-9197,Julee Crown@tesla.com
66,Edra Vermillion,Sales,(361) 495-0231,Edra Vermillion@tesla.com
67,Harry Swarthout,Sales,(789) 820-7751,Harry Swarthout@tesla.com
68,Lue Verville,Sales,(472) 473-1907,Lue Verville@tesla.com
69,Olympia Bramblett,Sales,(628) 693-2070,Olympia Bramblett@tesla.com
70,Charmain Folks,Sales,(840) 481-9156,Charmain Folks@tesla.com
71,Maximina Deibler,Sales,(570) 637-1121,Maximina Deibler@tesla.com
72,Abe Carr,Sales,(891) 273-1384,Abe Carr@tesla.com
73,Shakia Alewine,Sales,(822) 503-9387,Shakia Alewine@tesla.com
74,Jamison Shellhammer,Sales,(688) 523-6604,Jamison Shellhammer@tesla.com
75,Harriette Tarter,Sales,(684) 392-6019,Harriette Tarter@tesla.com
76,Shavonne Mcnary,Sales,(992) 638-5109,Shavonne Mcnary@tesla.com
77,Lanette Walkins,Sales,(994) 982-5125,Lanette Walkins@tesla.com
78,Nubia Lanterman,Sales,(592) 778-6848,Nubia Lanterman@tesla.com
79,Ingeborg Pisano,Sales,(864) 913-9926,Ingeborg Pisano@tesla.com
80,Ian Mckellar,Sales,(966) 893-3866,Ian Mckellar@tesla.com
81,Philip Hillen,Sales,(818) 818-8251,Philip Hillen@tesla.com
82,Adelia Simes,Sales,(636) 220-5295,Adelia Simes@tesla.com
83,Darleen Kerekes,Sales,(409) 505-2789,Darleen Kerekes@tesla.com
84,Earlie Peak,Sales,(788) 601-0677,Earlie Peak@tesla.com
85,Jenette Hackley,Sales,(404) 677-3378,Jenette Hackley@tesla.com
86,Alesia Pettiway,Sales,(908) 690-9235,Alesia Pettiway@tesla.com
87,Bridget Shaul,Sales,(345) 761-1673,Bridget Shaul@tesla.com
88,Iris Sharer,Sales,(688) 669-5578,Iris Sharer@tesla.com
89,Robena Weeks,Sales,(367) 984-0452,Robena Weeks@tesla.com
90,Wynell Mabee,Sales,(203) 922-3199,Wynell Mabee@tesla.com
91,Wynona Gwaltney,Sales,(231) 543-6670,Wynona Gwaltney@tesla.com
92,Rene Eisner,Sales,(857) 724-3183,Rene Eisner@tesla.com
93,Lorelei Fellman,Sales,(526) 970-5631,Lorelei Fellman@tesla.com
94,Vickey Sergeant,Sales,(888) 945-8998,Vickey Sergeant@tesla.com
95,Kai Gilfillan,Sales,(697) 632-3129,Kai Gilfillan@tesla.com
96,Livia Burditt,Sales,(967) 374-4850,Livia Burditt@tesla.com
97,Clarita Cliett,Sales,(685) 895-1479,Clarita Cliett@tesla.com
98,Bonnie Barkett,Sales,(340) 746-3194,Bonnie Barkett@tesla.com
99,Vern Cloninger,Sales,(263) 975-0185,Vern Cloninger@tesla.com
100,Lurlene Caprio,Service Manager,(739) 888-5914,Lurlene Caprio@tesla.com
101,Venita Matula,Service Manager,(305) 571-2807,Venita Matula@tesla.com
102,Jacquetta Ostrem,Service Manager,(387) 812-2485,Jacquetta Ostrem@tesla.com
103,Lemuel Crosland,Service Manager,(985) 295-1426,Lemuel Crosland@tesla.com
104,Ettie Oyer,Service Manager,(370) 807-8840,Ettie Oyer@tesla.com
105,Mira Fuqua,Service Manager,(475) 904-2610,Mira Fuqua@tesla.com
106,Alycia Mutter,Service Manager,(461) 924-5232,Alycia Mutter@tesla.com
107,Mabelle Vaden,Service Manager,(502) 979-9498,Mabelle Vaden@tesla.com
108,Claire Lorance,Service Manager,(854) 323-4776,Claire Lorance@tesla.com
109,Fidel Vandergriff,Service Manager,(648) 773-1403,Fidel Vandergriff@tesla.com
110,Rosanne Widger,Service Manager,(700) 615-3806,Rosanne Widger@tesla.com
111,Jennine Bufford,Service Manager,(339) 836-0951,Jennine Bufford@tesla.com
112,Lakendra Haymaker,Service Technicians,(501) 856-3637,Lakendra Haymaker@tesla.com
113,Lahoma Brush,Service Technicians,(337) 535-2183,Lahoma Brush@tesla.com
114,Ferne Nicklas,Service Technicians,(762) 664-0394,Ferne Nicklas@tesla.com
115,Oliver Puls,Service Technicians,(893) 605-2281,Oliver Puls@tesla.com
116,Chase Bueche,Service Technicians,(883) 566-1833,Chase Bueche@tesla.com
117,Silvia Yearta,Service Technicians,(285) 844-9776,Silvia Yearta@tesla.com
118,Piedad Sells,Service Technicians,(553) 962-7146,Piedad Sells@tesla.com
119,Adelia Leanos,Service Technicians,(211) 712-4203,Adelia Leanos@tesla.com
120,Maryjane Petrosky,Service Technicians,(365) 573-5648,Maryjane Petrosky@tesla.com
121,Leola Harman,Service Technicians,(287) 635-1903,Leola Harman@tesla.com
122,Stella Bomberger,Service Technicians,(289) 658-2679,Stella Bomberger@tesla.com
123,Walton Singer,Service Technicians,(725) 695-4490,Walton Singer@tesla.com
124,Jaime Matsuo,Service Technicians,(411) 948-4848,Jaime Matsuo@tesla.com
125,Hisako Kruse,Service Technicians,(917) 318-8324,Hisako Kruse@tesla.com
126,Gertha Baade,Service Technicians,(319) 842-9035,Gertha Baade@tesla.com
127,Elenore Greig,Service Technicians,(563) 747-1290,Elenore Greig@tesla.com
128,Vada Swofford,Service Technicians,(466) 849-1103,Vada Swofford@tesla.com
129,Rosaria Harbin,Service Technicians,(724) 811-5659,Rosaria Harbin@tesla.com
130,Santiago Bublitz,Service Technicians,(281) 770-9092,Santiago Bublitz@tesla.com
131,Margarett Mcgavock,Service Technicians,(548) 894-6820,Margarett Mcgavock@tesla.com
132,Ivory Brewington,Service Technicians,(401) 471-0066,Ivory Brewington@tesla.com
133,Kenny Vicente,Service Technicians,(973) 779-5992,Kenny Vicente@tesla.com
134,Vita Karter,Service Technicians,(283) 989-6495,Vita Karter@tesla.com
135,Bonnie Limberg,Service Technicians,(602) 584-8963,Bonnie Limberg@tesla.com
136,Lanora Wilker,Service Technicians,(843) 701-3779,Lanora Wilker@tesla.com
137,Kirby Santillan,Service Technicians,(891) 610-4119,Kirby Santillan@tesla.com
138,Celia Digby,Service Technicians,(261) 955-8723,Celia Digby@tesla.com
139,Jermaine Lamarr,Service Technicians,(205) 982-9325,Jermaine Lamarr@tesla.com
140,Asa Yarnell,Service Technicians,(215) 583-0268,Asa Yarnell@tesla.com
141,Kandra Puthoff,Service Technicians,(828) 809-5564,Kandra Puthoff@tesla.com
142,Margherita Boerger,Service Technicians,(694) 834-3021,Margherita Boerger@tesla.com
143,Sherman Daniel,Service Technicians,(482) 904-3247,Sherman Daniel@tesla.com
144,Floy Borror,Service Technicians,(479) 538-0157,Floy Borror@tesla.com
145,Ivey Pettiway,Service Technicians,(206) 431-7852,Ivey Pettiway@tesla.com
146,Aurora Duffield,Service Technicians,(953) 582-6694,Aurora Duffield@tesla.com
147,Fernando Ginyard,Service Technicians,(459) 694-1635,Fernando Ginyard@tesla.com
148,Faye Timmer,Service Technicians,(849) 423-6869,Faye Timmer@tesla.com
149,Maya Doyel,Service Technicians,(443) 686-7663,Maya Doyel@tesla.com
